issue,number,size,color,collected_at
202609252681,3,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252682,1,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252683,0,Nhỏ,ĐỏTím,2026-09-25T22:43:23+07:00
202609252684,1,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252685,6,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252686,3,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252687,0,Nhỏ,ĐỏTím,2026-09-25T22:43:23+07:00
202609252688,1,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252689,9,Lớn,Xanh,2026-09-25T22:43:24+07:00
202609252690,0,Nhỏ,ĐỏTím,2026-09-25T22:43:24+07:00
202609252691,3,Nhỏ,Xanh,2026-09-25T22:43:24+07:00
202609252692,0,Nhỏ,ĐỏTím,2026-09-25T22:43:24+07:00
202609252693,0,Nhỏ,ĐỏTím,2026-09-25T22:43:24+07:00
202609252694,6,Lớn,Đỏ,2026-09-25T22:43:24+07:00
202609252695,4,Nhỏ,Đỏ,2026-09-25T22:43:24+07:00
202609252696,3,Nhỏ,Xanh,2026-09-25T22:43:24+07:00
202609252697,1,Nhỏ,Xanh,2026-09-25T22:43:24+07:00
202609252698,4,Nhỏ,Đỏ,2026-09-25T22:43:24+07:00
202609252699,7,Lớn,Xanh,2026-09-25T22:43:24+07:00
202609252700,8,Lớn,Đỏ,2026-09-25T22:43:24+07:00
202609252701,7,Lớn,Xanh,2026-09-25T22:43:24+07:00
202609252702,3,Nhỏ,Xanh,2026-09-25T22:43:24+07:00
202609252703,7,Lớn,Xanh,2026-09-25T22:43:24+07:00
202609252704,0,Nhỏ,ĐỏTím,2026-09-25T22:43:24+07:00
202609252705,5,Lớn,XanhTím,2026-09-25T22:43:24+07:00
202609252706,8,Lớn,Đỏ,2026-09-25T22:43:24+07:00
202609252707,8,Lớn,Đỏ,2026-09-25T22:43:24+07:00
202609252708,5,Lớn,XanhTím,2026-09-25T22:43:24+07:00
202609252709,4,Nhỏ,Đỏ,2026-09-25T22:43:24+07:00
202609252710,3,Nhỏ,Xanh,2026-09-25T22:43:24+07:00
202609252711,7,Lớn,Xanh,2026-09-25T22:43:24+07:00
202609252712,3,Nhỏ,Xanh,2026-09-25T22:43:24+07:00
202609252713,4,Nhỏ,Đỏ,2026-09-25T22:43:24+07:00
202609252714,3,Nhỏ,Xanh,2026-09-25T22:43:24+07:00
202609252715,6,Lớn,Đỏ,2026-09-25T22:43:24+07:00
202609252716,1,Nhỏ,Xanh,2026-09-25T22:43:24+07:00
202609252717,2,Nhỏ,Đỏ,2026-09-25T22:43:24+07:00
202609252718,6,Lớn,Đỏ,2026-09-25T22:43:24+07:00
202609252719,3,Nhỏ,Xanh,2026-09-25T22:43:24+07:00
202609252720,7,Lớn,Xanh,2026-09-25T22:43:24+07:00
202609252721,6,Lớn,Đỏ,2026-09-25T22:43:24+07:00
202609252722,9,Lớn,Xanh,2026-09-25T22:43:24+07:00
202609252723,9,Lớn,Xanh,2026-09-25T22:43:24+07:00
202609252724,9,Lớn,Xanh,2026-09-25T22:43:24+07:00
202609252725,3,Nhỏ,Xanh,2026-09-25T22:43:24+07:00
202609252726,5,Lớn,XanhTím,2026-09-25T22:43:24+07:00
202609252727,5,Lớn,XanhTím,2026-09-25T22:43:53+07:00
202609252728,5,Lớn,XanhTím,2026-09-25T22:44:23+07:00
202609252729,8,Lớn,Đỏ,2026-09-25T22:44:53+07:00
202609252730,2,Nhỏ,Đỏ,2026-09-25T22:45:23+07:00
202609252731,6,Lớn,Đỏ,2026-09-25T22:45:53+07:00
202609252732,3,Nhỏ,Xanh,2026-09-25T22:46:23+07:00
202609252733,2,Nhỏ,Đỏ,2026-09-25T22:46:53+07:00
202609252734,0,Nhỏ,ĐỏTím,2026-09-25T22:47:23+07:00
202609252735,2,Nhỏ,Đỏ,2026-09-25T22:47:53+07:00
202609252736,3,Nhỏ,Xanh,2026-09-25T22:48:23+07:00
202609252737,1,Nhỏ,Xanh,2026-09-25T22:48:53+07:00
202609252738,7,Lớn,Xanh,2026-09-25T22:49:23+07:00
202609252739,5,Lớn,XanhTím,2026-09-25T22:49:53+07:00
202609252740,8,Lớn,Đỏ,2026-09-25T22:50:23+07:00
202609252741,3,Nhỏ,Xanh,2026-09-25T22:50:53+07:00
202609252742,7,Lớn,Xanh,2026-09-25T22:51:23+07:00
202609252743,8,Lớn,Đỏ,2026-09-25T22:51:53+07:00
202609252744,6,Lớn,Đỏ,2026-09-25T22:52:23+07:00
202609252745,0,Nhỏ,ĐỏTím,2026-09-25T22:52:53+07:00
202609252746,5,Lớn,XanhTím,2026-09-25T22:53:23+07:00
202609252747,8,Lớn,Đỏ,2026-09-25T22:53:53+07:00
202609252748,8,Lớn,Đỏ,2026-09-25T22:54:23+07:00
202609252749,6,Lớn,Đỏ,2026-09-25T22:54:53+07:00
202609252750,7,Lớn,Xanh,2026-09-25T22:55:23+07:00
202609252751,0,Nhỏ,ĐỏTím,2026-09-25T22:55:53+07:00
202609252752,6,Lớn,Đỏ,2026-09-25T22:56:23+07:00
202609252753,6,Lớn,Đỏ,2026-09-25T22:56:53+07:00
202609252754,7,Lớn,Xanh,2026-09-25T22:57:23+07:00
202609252755,7,Lớn,Xanh,2026-09-25T22:57:53+07:00
202609252756,7,Lớn,Xanh,2026-09-25T22:58:23+07:00
202609252757,3,Nhỏ,Xanh,2026-09-25T22:58:53+07:00
202609252758,1,Nhỏ,Xanh,2026-09-25T22:59:23+07:00
202609252759,5,Lớn,XanhTím,2026-09-25T22:59:53+07:00
202609252760,6,Lớn,Đỏ,2026-09-25T23:00:23+07:00
202609252761,2,Nhỏ,Đỏ,2026-09-25T23:00:53+07:00
202609252762,4,Nhỏ,Đỏ,2026-09-25T23:01:23+07:00
202609252763,4,Nhỏ,Đỏ,2026-09-25T23:01:53+07:00
202609252764,7,Lớn,Xanh,2026-09-25T23:02:23+07:00
202609252765,4,Nhỏ,Đỏ,2026-09-25T23:02:53+07:00
202609252766,2,Nhỏ,Đỏ,2026-09-25T23:03:23+07:00
202609252767,6,Lớn,Đỏ,2026-09-25T23:03:53+07:00
202609252768,2,Nhỏ,Đỏ,2026-09-25T23:04:23+07:00
202609252769,3,Nhỏ,Xanh,2026-09-25T23:04:53+07:00
202609252770,4,Nhỏ,Đỏ,2026-09-25T23:05:23+07:00
202609252771,6,Lớn,Đỏ,2026-09-25T23:05:53+07:00
202609252772,9,Lớn,Xanh,2026-09-25T23:06:23+07:00
202609252773,1,Nhỏ,Xanh,2026-09-25T23:06:53+07:00
202609252774,9,Lớn,Xanh,2026-09-25T23:07:23+07:00
202609252775,3,Nhỏ,Xanh,2026-09-25T23:07:53+07:00
202609252776,1,Nhỏ,Xanh,2026-09-25T23:08:23+07:00
202609252777,6,Lớn,Đỏ,2026-09-25T23:08:53+07:00
202609252778,1,Nhỏ,Xanh,2026-09-25T23:09:23+07:00
202609252779,1,Nhỏ,Xanh,2026-09-25T23:09:53+07:00
202609252780,6,Lớn,Đỏ,2026-09-25T23:10:23+07:00
202609252781,7,Lớn,Xanh,2026-09-25T23:10:53+07:00
202609252782,7,Lớn,Xanh,2026-09-25T23:11:23+07:00
202609252783,4,Nhỏ,Đỏ,2026-09-25T23:11:53+07:00
202609252784,6,Lớn,Đỏ,2026-09-25T23:12:23+07:00
202609252785,4,Nhỏ,Đỏ,2026-09-25T23:12:53+07:00
202609252786,0,Nhỏ,ĐỏTím,2026-09-25T23:13:23+07:00
202609252787,2,Nhỏ,Đỏ,2026-09-25T23:13:53+07:00
202609252788,1,Nhỏ,Xanh,2026-09-25T23:14:23+07:00
202609252789,0,Nhỏ,ĐỏTím,2026-09-25T23:14:53+07:00
202609252790,0,Nhỏ,ĐỏTím,2026-09-25T23:15:23+07:00
202609252791,2,Nhỏ,Đỏ,2026-09-25T23:15:53+07:00
202609252792,2,Nhỏ,Đỏ,2026-09-25T23:16:23+07:00
202609252793,3,Nhỏ,Xanh,2026-09-25T23:16:53+07:00
202609252794,4,Nhỏ,Đỏ,2026-09-25T23:17:23+07:00
202609252795,2,Nhỏ,Đỏ,2026-09-25T23:17:53+07:00
202609252796,2,Nhỏ,Đỏ,2026-09-25T23:18:23+07:00
202609252797,4,Nhỏ,Đỏ,2026-09-25T23:18:53+07:00
202609252798,8,Lớn,Đỏ,2026-09-25T23:19:23+07:00
202609252799,5,Lớn,XanhTím,2026-09-25T23:19:53+07:00
202609252800,7,Lớn,Xanh,2026-09-25T23:20:23+07:00
202609252801,8,Lớn,Đỏ,2026-09-25T23:20:53+07:00
202609252802,8,Lớn,Đỏ,2026-09-25T23:21:23+07:00
202609252803,9,Lớn,Xanh,2026-09-25T23:21:53+07:00
202609252804,5,Lớn,XanhTím,2026-09-25T23:22:23+07:00
202609252805,3,Nhỏ,Xanh,2026-09-25T23:22:53+07:00
202609252806,0,Nhỏ,ĐỏTím,2026-09-25T23:23:23+07:00
202609252807,1,Nhỏ,Xanh,2026-09-25T23:23:53+07:00
202609252808,9,Lớn,Xanh,2026-09-25T23:24:23+07:00
202609252809,5,Lớn,XanhTím,2026-09-25T23:24:53+07:00
202609252810,9,Lớn,Xanh,2026-09-25T23:25:23+07:00
202609252811,4,Nhỏ,Đỏ,2026-09-25T23:25:53+07:00
202609252812,9,Lớn,Xanh,2026-09-25T23:26:23+07:00
202609252813,9,Lớn,Xanh,2026-09-25T23:26:53+07:00
202609252814,2,Nhỏ,Đỏ,2026-09-25T23:27:23+07:00
202609252815,6,Lớn,Đỏ,2026-09-25T23:27:53+07:00
202609252816,0,Nhỏ,ĐỏTím,2026-09-25T23:28:23+07:00
202609252817,3,Nhỏ,Xanh,2026-09-25T23:28:53+07:00
202609252818,1,Nhỏ,Xanh,2026-09-25T23:29:23+07:00
202609252819,9,Lớn,Xanh,2026-09-25T23:29:53+07:00
202609252820,2,Nhỏ,Đỏ,2026-09-25T23:30:23+07:00
202609252821,5,Lớn,XanhTím,2026-09-25T23:30:53+07:00
202609252822,4,Nhỏ,Đỏ,2026-09-25T23:31:23+07:00
202609252823,8,Lớn,Đỏ,2026-09-25T23:31:53+07:00
202609252824,0,Nhỏ,ĐỏTím,2026-09-25T23:32:23+07:00
202609252825,8,Lớn,Đỏ,2026-09-25T23:32:53+07:00
202609252826,1,Nhỏ,Xanh,2026-09-25T23:33:23+07:00
202609252827,9,Lớn,Xanh,2026-09-25T23:33:53+07:00
202609252828,7,Lớn,Xanh,2026-09-25T23:34:23+07:00
202609252829,8,Lớn,Đỏ,2026-09-25T23:34:54+07:00
202609252830,8,Lớn,Đỏ,2026-09-25T23:35:23+07:00
202609252831,2,Nhỏ,Đỏ,2026-09-25T23:35:53+07:00
202609252832,4,Nhỏ,Đỏ,2026-09-25T23:36:23+07:00
202609252833,5,Lớn,XanhTím,2026-09-25T23:36:54+07:00
202609252834,3,Nhỏ,Xanh,2026-09-25T23:37:23+07:00
202609252835,2,Nhỏ,Đỏ,2026-09-25T23:37:53+07:00
202609252836,7,Lớn,Xanh,2026-09-25T23:38:23+07:00
202609252837,3,Nhỏ,Xanh,2026-09-25T23:38:53+07:00
202609252838,9,Lớn,Xanh,2026-09-25T23:39:23+07:00
202609252839,4,Nhỏ,Đỏ,2026-09-25T23:39:54+07:00
202609252840,5,Lớn,XanhTím,2026-09-25T23:40:23+07:00
202609252841,9,Lớn,Xanh,2026-09-25T23:40:53+07:00
202609252842,5,Lớn,XanhTím,2026-09-25T23:41:23+07:00
202609252843,5,Lớn,XanhTím,2026-09-25T23:41:53+07:00
202609252844,5,Lớn,XanhTím,2026-09-25T23:42:23+07:00
202609252845,5,Lớn,XanhTím,2026-09-25T23:42:53+07:00
202609252846,8,Lớn,Đỏ,2026-09-25T23:43:53+07:00
202609252847,3,Nhỏ,Xanh,2026-09-25T23:43:53+07:00
202609252848,9,Lớn,Xanh,2026-09-25T23:44:24+07:00
202609252849,4,Nhỏ,Đỏ,2026-09-25T23:44:53+07:00
202609252850,3,Nhỏ,Xanh,2026-09-25T23:45:23+07:00
202609252851,3,Nhỏ,Xanh,2026-09-25T23:45:53+07:00
202609252852,5,Lớn,XanhTím,2026-09-25T23:46:23+07:00
202609252853,0,Nhỏ,ĐỏTím,2026-09-25T23:46:53+07:00
202609252854,3,Nhỏ,Xanh,2026-09-25T23:47:23+07:00
202609252855,4,Nhỏ,Đỏ,2026-09-25T23:47:53+07:00
202609252856,2,Nhỏ,Đỏ,2026-09-25T23:48:23+07:00
202609252857,6,Lớn,Đỏ,2026-09-25T23:48:53+07:00
202609252858,3,Nhỏ,Xanh,2026-09-25T23:49:23+07:00
202609252859,2,Nhỏ,Đỏ,2026-09-25T23:49:53+07:00
202609252860,1,Nhỏ,Xanh,2026-09-25T23:50:23+07:00
202609252861,2,Nhỏ,Đỏ,2026-09-25T23:50:53+07:00
202609252862,8,Lớn,Đỏ,2026-09-25T23:51:23+07:00
202609252863,2,Nhỏ,Đỏ,2026-09-25T23:51:53+07:00
202609252864,2,Nhỏ,Đỏ,2026-09-25T23:52:23+07:00
202609252865,7,Lớn,Xanh,2026-09-25T23:52:53+07:00
202609252866,0,Nhỏ,ĐỏTím,2026-09-25T23:53:23+07:00
202609252867,2,Nhỏ,Đỏ,2026-09-25T23:53:53+07:00
202609252868,2,Nhỏ,Đỏ,2026-09-25T23:54:23+07:00
202609252869,8,Lớn,Đỏ,2026-09-25T23:54:53+07:00
202609252870,1,Nhỏ,Xanh,2026-09-25T23:55:23+07:00
202609252871,2,Nhỏ,Đỏ,2026-09-25T23:55:54+07:00
202609252872,2,Nhỏ,Đỏ,2026-09-25T23:56:23+07:00
202609252873,4,Nhỏ,Đỏ,2026-09-25T23:56:53+07:00
202609252874,1,Nhỏ,Xanh,2026-09-25T23:57:23+07:00
202609252875,1,Nhỏ,Xanh,2026-09-25T23:57:53+07:00
202609252876,9,Lớn,Xanh,2026-09-25T23:58:23+07:00
202609252877,9,Lớn,Xanh,2026-09-25T23:58:53+07:00
202609252878,9,Lớn,Xanh,2026-09-25T23:59:24+07:00
202609252879,3,Nhỏ,Xanh,2026-09-25T23:59:53+07:00
202609252880,0,Nhỏ,ĐỏTím,2026-09-26T00:00:23+07:00
202609260001,2,Nhỏ,Đỏ,2026-09-26T00:00:53+07:00
202609260002,1,Nhỏ,Xanh,2026-09-26T00:01:23+07:00
202609260003,6,Lớn,Đỏ,2026-09-26T00:01:53+07:00
202609260004,7,Lớn,Xanh,2026-09-26T00:02:23+07:00
202609260005,7,Lớn,Xanh,2026-09-26T00:02:53+07:00
202609260006,6,Lớn,Đỏ,2026-09-26T00:03:23+07:00
202609260007,5,Lớn,XanhTím,2026-09-26T00:03:53+07:00
202609260008,9,Lớn,Xanh,2026-09-26T00:04:23+07:00
202609260009,6,Lớn,Đỏ,2026-09-26T00:04:54+07:00
202609260010,5,Lớn,XanhTím,2026-09-26T00:05:23+07:00
202609260011,8,Lớn,Đỏ,2026-09-26T00:05:53+07:00
202609260012,2,Nhỏ,Đỏ,2026-09-26T00:06:23+07:00
202609260013,1,Nhỏ,Xanh,2026-09-26T00:06:54+07:00
202609260014,0,Nhỏ,ĐỏTím,2026-09-26T00:07:23+07:00
202609260015,7,Lớn,Xanh,2026-09-26T00:07:53+07:00
202609260016,1,Nhỏ,Xanh,2026-09-26T00:08:23+07:00
202609260017,1,Nhỏ,Xanh,2026-09-26T00:08:53+07:00
202609260018,0,Nhỏ,ĐỏTím,2026-09-26T00:09:23+07:00
202609260019,7,Lớn,Xanh,2026-09-26T00:09:53+07:00
202609260020,4,Nhỏ,Đỏ,2026-09-26T00:10:23+07:00
202609260021,1,Nhỏ,Xanh,2026-09-26T00:10:54+07:00
202609260022,2,Nhỏ,Đỏ,2026-09-26T00:11:23+07:00
202609260023,0,Nhỏ,ĐỏTím,2026-09-26T00:11:53+07:00
202609260024,7,Lớn,Xanh,2026-09-26T00:12:23+07:00
202609260025,4,Nhỏ,Đỏ,2026-09-26T00:12:53+07:00
202609260026,1,Nhỏ,Xanh,2026-09-26T00:13:24+07:00
202609260027,2,Nhỏ,Đỏ,2026-09-26T00:13:53+07:00
202609260028,4,Nhỏ,Đỏ,2026-09-26T00:14:23+07:00
202609260029,8,Lớn,Đỏ,2026-09-26T00:14:53+07:00
202609260030,0,Nhỏ,ĐỏTím,2026-09-26T00:15:24+07:00
202609260031,3,Nhỏ,Xanh,2026-09-26T00:15:53+07:00
202609260032,3,Nhỏ,Xanh,2026-09-26T00:16:23+07:00
202609260033,7,Lớn,Xanh,2026-09-26T00:16:54+07:00
202609260034,4,Nhỏ,Đỏ,2026-09-26T00:17:23+07:00
202609260035,2,Nhỏ,Đỏ,2026-09-26T00:17:54+07:00
202609260036,0,Nhỏ,ĐỏTím,2026-09-26T00:18:23+07:00
202609260037,9,Lớn,Xanh,2026-09-26T00:18:54+07:00
202609260038,8,Lớn,Đỏ,2026-09-26T00:19:23+07:00
202609260039,3,Nhỏ,Xanh,2026-09-26T00:19:53+07:00
202609260040,9,Lớn,Xanh,2026-09-26T00:20:23+07:00
202609260041,1,Nhỏ,Xanh,2026-09-26T00:20:53+07:00
202609260042,3,Nhỏ,Xanh,2026-09-26T00:21:24+07:00
202609260043,1,Nhỏ,Xanh,2026-09-26T00:21:53+07:00
202609260044,1,Nhỏ,Xanh,2026-09-26T00:22:23+07:00
202609260045,4,Nhỏ,Đỏ,2026-09-26T00:22:53+07:00
202609260046,1,Nhỏ,Xanh,2026-09-26T00:23:23+07:00
202609260047,2,Nhỏ,Đỏ,2026-09-26T00:23:54+07:00
202609260048,8,Lớn,Đỏ,2026-09-26T00:24:23+07:00
202609260049,2,Nhỏ,Đỏ,2026-09-26T00:24:54+07:00
202609260050,5,Lớn,XanhTím,2026-09-26T00:25:23+07:00
202609260051,2,Nhỏ,Đỏ,2026-09-26T00:25:53+07:00
202609260052,6,Lớn,Đỏ,2026-09-26T00:26:23+07:00
202609260053,9,Lớn,Xanh,2026-09-26T00:26:53+07:00
202609260054,0,Nhỏ,ĐỏTím,2026-09-26T00:27:23+07:00
202609260055,8,Lớn,Đỏ,2026-09-26T00:27:54+07:00
202609260056,5,Lớn,XanhTím,2026-09-26T00:28:23+07:00
202609260057,9,Lớn,Xanh,2026-09-26T00:28:53+07:00
202609260058,5,Lớn,XanhTím,2026-09-26T00:29:24+07:00
202609260059,3,Nhỏ,Xanh,2026-09-26T00:29:53+07:00
202609260060,4,Nhỏ,Đỏ,2026-09-26T00:30:23+07:00
202609260061,5,Lớn,XanhTím,2026-09-26T00:30:53+07:00
202609260062,7,Lớn,Xanh,2026-09-26T00:31:24+07:00
202609260063,0,Nhỏ,ĐỏTím,2026-09-26T00:31:53+07:00
202609260064,4,Nhỏ,Đỏ,2026-09-26T00:32:24+07:00
202609260065,7,Lớn,Xanh,2026-09-26T00:32:54+07:00
202609260066,6,Lớn,Đỏ,2026-09-26T00:33:23+07:00
202609260067,6,Lớn,Đỏ,2026-09-26T00:33:53+07:00
202609260068,1,Nhỏ,Xanh,2026-09-26T00:34:23+07:00
202609260069,0,Nhỏ,ĐỏTím,2026-09-26T00:34:53+07:00
202609260070,9,Lớn,Xanh,2026-09-26T00:35:24+07:00
202609260071,7,Lớn,Xanh,2026-09-26T00:35:53+07:00
202609260072,4,Nhỏ,Đỏ,2026-09-26T00:36:23+07:00
202609260073,8,Lớn,Đỏ,2026-09-26T00:36:54+07:00
202609260074,5,Lớn,XanhTím,2026-09-26T00:37:23+07:00
202609260075,1,Nhỏ,Xanh,2026-09-26T00:37:53+07:00
202609260076,9,Lớn,Xanh,2026-09-26T00:38:23+07:00
202609260077,4,Nhỏ,Đỏ,2026-09-26T00:38:53+07:00
202609260078,7,Lớn,Xanh,2026-09-26T00:39:23+07:00
202609260079,4,Nhỏ,Đỏ,2026-09-26T00:39:53+07:00
202609260080,7,Lớn,Xanh,2026-09-26T00:40:23+07:00
202609260081,0,Nhỏ,ĐỏTím,2026-09-26T00:40:54+07:00
202609260082,6,Lớn,Đỏ,2026-09-26T00:41:24+07:00
202609260083,5,Lớn,XanhTím,2026-09-26T00:41:53+07:00
202609260084,9,Lớn,Xanh,2026-09-26T00:42:24+07:00
202609260085,4,Nhỏ,Đỏ,2026-09-26T00:42:53+07:00
202609260086,5,Lớn,XanhTím,2026-09-26T00:43:23+07:00
202609260087,7,Lớn,Xanh,2026-09-26T00:43:53+07:00
202609260088,3,Nhỏ,Xanh,2026-09-26T00:44:23+07:00
202609260089,6,Lớn,Đỏ,2026-09-26T00:45:24+07:00
202609260090,0,Nhỏ,ĐỏTím,2026-09-26T00:45:24+07:00
202609260091,7,Lớn,Xanh,2026-09-26T00:45:54+07:00
202609260092,5,Lớn,XanhTím,2026-09-26T00:46:24+07:00
202609260093,0,Nhỏ,ĐỏTím,2026-09-26T00:46:53+07:00
202609260094,0,Nhỏ,ĐỏTím,2026-09-26T00:47:24+07:00
202609260095,8,Lớn,Đỏ,2026-09-26T00:54:24+07:00
202609260096,3,Nhỏ,Xanh,2026-09-26T00:54:24+07:00
202609260097,7,Lớn,Xanh,2026-09-26T00:54:24+07:00
202609260098,3,Nhỏ,Xanh,2026-09-26T00:54:24+07:00
202609260099,3,Nhỏ,Xanh,2026-09-26T00:54:24+07:00
202609260100,5,Lớn,XanhTím,2026-09-26T00:54:24+07:00
202609260101,5,Lớn,XanhTím,2026-09-26T00:54:24+07:00
202609260102,4,Nhỏ,Đỏ,2026-09-26T00:54:24+07:00
202609260103,2,Nhỏ,Đỏ,2026-09-26T00:54:24+07:00
202609260104,7,Lớn,Xanh,2026-09-26T00:54:24+07:00
202609260105,4,Nhỏ,Đỏ,2026-09-26T00:54:24+07:00
202609260106,8,Lớn,Đỏ,2026-09-26T00:54:24+07:00
202609260107,0,Nhỏ,ĐỏTím,2026-09-26T00:54:24+07:00
202609260108,2,Nhỏ,Đỏ,2026-09-26T00:54:24+07:00
202609260109,1,Nhỏ,Xanh,2026-09-26T00:54:54+07:00
